SKU,Medication,Category,Form,Strength,Size,Total,List $,Your $,Description
TR-BKV,BPC-157/KPV,Tissue Repair & Recovery,Capsules,500mcg/500mcg,each,500mcg/500mcg,$2.50,$2.00,Oral peptide duo targeting gut-lining inflammation and intestinal permeability.
LG-EPN,Epitalon,Longevity,Capsules,3mg,each,3mg,$2.50,$2.00,Telomerase-activating tetrapeptide with anti-aging and circadian properties.
HR-ANZ,Anastrozole,Hormone Replacement Therapy,Capsules,0.25mg,each,0.25mg,$2.00,$1.60,Aromatase inhibitor reducing estrogen conversion from testosterone in HRT/TRT.
HR-ANZ-02,Anastrozole,Hormone Replacement Therapy,Capsules,0.5mg,each,0.5mg,$1.00,$0.80,Aromatase inhibitor reducing estrogen conversion from testosterone in HRT/TRT.
HR-ANZ-03,Anastrozole,Hormone Replacement Therapy,Capsules,1mg,each,1mg,$1.50,$1.20,Aromatase inhibitor reducing estrogen conversion from testosterone in HRT/TRT.
HR-ANS,Anastrozole SR,Hormone Replacement Therapy,Capsules,0.1mg,each,0.1mg,,$0.80,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ANS-02,Anastrozole SR,Hormone Replacement Therapy,Capsules,0.125mg,each,0.125mg,,$0.80,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ANS-03,Anastrozole SR,Hormone Replacement Therapy,Capsules,0.25mg,each,0.25mg,,$1.00,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ANS-04,Anastrozole SR,Hormone Replacement Therapy,Capsules,0.4mg,each,0.4mg,,$1.00,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ANS-05,Anastrozole SR,Hormone Replacement Therapy,Capsules,0.5mg,each,0.5mg,,$1.00,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ANS-06,Anastrozole SR,Hormone Replacement Therapy,Capsules,0.75mg,each,0.75mg,,$1.00,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ANS-07,Anastrozole SR,Hormone Replacement Therapy,Capsules,1.1mg,each,1.1mg,,$1.20,Sustained-release aromatase inhibitor for steady estrogen suppression.
HR-ECL,Enclominphene,Hormone Replacement Therapy,Capsules,12.5mg,each,12.5mg,$2.25,$1.80,SERM raising endogenous LH/FSH and testosterone without estrogenic effects.
HR-ECL-02,Enclominphene,Hormone Replacement Therapy,Capsules,25mg,each,25mg,$1.25,$1.00,SERM raising endogenous LH/FSH and testosterone without estrogenic effects.
HR-ECC,Enclomiphene CITRATE,Hormone Replacement Therapy,Capsules,12.5mg,each,12.5mg,,$1.20,Pure trans-isomer of clomiphene for cleaner testosterone stimulation.
HR-ECC-02,Enclomiphene CITRATE,Hormone Replacement Therapy,Capsules,25mg,each,25mg,,$1.50,Pure trans-isomer of clomiphene for cleaner testosterone stimulation.
HR-ECC-03,Enclomiphene CITRATE,Hormone Replacement Therapy,Capsules,51mg,each,51mg,,$2.00,Pure trans-isomer of clomiphene for cleaner testosterone stimulation.
HR-OXA,Oxandrolone,Hormone Replacement Therapy,Capsules,5mg,each,5mg,$2.00,$1.60,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
HR-OXA-02,Oxandrolone,Hormone Replacement Therapy,Capsules,10mg,each,10mg,$2.25,$1.80,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
HR-OXA-03,Oxandrolone,Hormone Replacement Therapy,Capsules,20mg,each,20mg,$2.50,$2.00,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
HR-OXA-04,Oxandrolone,Hormone Replacement Therapy,Capsules,25mg,each,25mg,$2.75,$2.20,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
HR-OXA-05,Oxandrolone,Hormone Replacement Therapy,Capsules,50mg,each,50mg,$3.00,$2.40,Anabolic steroid used in HRT and muscle-wasting conditions at therapeutic doses.
AD-NLT,Naltrexone,Addiction,Capsules,3mg,each,,$1.50,$1.50,Low-dose naltrexone (LDN) for addiction support and immune modulation.
AD-NLT-02,Naltrexone,Addiction,Capsules,4mg,each,,$1.50,$1.50,Low-dose naltrexone (LDN) for addiction support and immune modulation.
AD-NLT-03,Naltrexone,Addiction,Capsules,4.5mg,each,,$1.50,,Low-dose naltrexone (LDN) for addiction support and immune modulation.
AD-NLT-04,Naltrexone,Addiction,Capsules,5mg,each,,$1.50,$1.50,Low-dose naltrexone (LDN) for addiction support and immune modulation.
AD-NLT-05,Naltrexone,Addiction,Capsules,6mg,each,,$1.50,$1.50,Low-dose naltrexone (LDN) for addiction support and immune modulation.
AD-NLT-06,Naltrexone,Addiction,Capsules,8mg,each,,$1.50,$1.50,Low-dose naltrexone (LDN) for addiction support and immune modulation.
HR-B2I,BIEST (20:80) IR,Hormone Replacement Therapy,Capsule,1.5mg,each,,$1.99,,Immediate-release 20:80 BIEST capsule for female HRT.
HR-B5I,BIEST (50:50) IR,Hormone Replacement Therapy,Capsule,1mg,each,,$1.99,,Immediate-release 50:50 BIEST capsule.
HR-B5I-02,BIEST (50:50) IR,Hormone Replacement Therapy,Capsule,2mg,each,,$1.66,,Immediate-release 50:50 BIEST capsule.
HR-BPS,BIEST 50/50/Progesterone SR,Hormone Replacement Therapy,Capsule,1.8mg/200mg,each,,$1.99,,Triple bioidentical HRT capsule combining balanced BIEST with sustained progesterone.
HR-CLO,Clomiphene CITRATE,Hormone Replacement Therapy,Capsule,25mg,each,,,$2.08,SERM stimulating pituitary FSH/LH; used in female fertility and male HRT.
HR-CLO-02,Clomiphene CITRATE,Hormone Replacement Therapy,Capsule,51mg,each,,,$1.99,SERM stimulating pituitary FSH/LH; used in female fertility and male HRT.
HR-DHS,DHEA SR,Hormone Replacement Therapy,Capsule,10mg,each,,,$1.83,"Sustained-release adrenal precursor supporting energy, mood, and sex hormone balance."
HR-DHS-02,DHEA SR,Hormone Replacement Therapy,Capsule,50mg,each,,,$1.83,"Sustained-release adrenal precursor supporting energy, mood, and sex hormone balance."
HR-DHD,DHEA SR (DYE-FREE),Hormone Replacement Therapy,Capsule,25mg,each,,,$1.83,Dye-free DHEA SR for patients with sensitivities.
HR-DHP,DHEA/Pregnenolone,Hormone Replacement Therapy,Capsule,25mg/25mg,each,,,$1.83,Dual adrenal hormone stack for comprehensive hormonal precursor support.
HR-DHP-02,DHEA/Pregnenolone,Hormone Replacement Therapy,Capsule,10mg/50mg,each,,,$1.83,Dual adrenal hormone stack for comprehensive hormonal precursor support.
HR-EIR,Estradiol IR,Hormone Replacement Therapy,Capsule,1.0mg,each,,,$1.66,Immediate-release bioidentical E2 capsule for female HRT.
HR-EIR-02,Estradiol IR,Hormone Replacement Therapy,Capsule,1.5mg,each,,,$1.66,Immediate-release bioidentical E2 capsule for female HRT.
HR-EIR-03,Estradiol IR,Hormone Replacement Therapy,Capsule,2mg,each,,,$1.99,Immediate-release bioidentical E2 capsule for female HRT.
HR-EIR-04,Estradiol IR,Hormone Replacement Therapy,Capsule,2.5mg,each,,,$1.99,Immediate-release bioidentical E2 capsule for female HRT.
HR-EIR-05,Estradiol IR,Hormone Replacement Therapy,Capsule,4mg,each,,,$1.99,Immediate-release bioidentical E2 capsule for female HRT.
HR-EDF,ESTRADIOL IR (DYE-FREE) (LACTOSE FREE),Hormone Replacement Therapy,Capsule,2mg,each,,,$1.99,Hypoallergenic immediate-release estradiol for sensitive patients.
HR-KYZ,KyzaTrex,Hormone Replacement Therapy,Capsule,200mg,120-cap bottle,,,$1.99,FDA-approved oral testosterone undecanoate for hypogonadism.
HR-T3I,Liothyronine (T3) IR,Hormone Replacement Therapy,Capsule,6.5mcg,each,,,$1.99,Immediate-release active thyroid hormone for hypothyroidism and metabolic support.
HR-T3S,Liothyronine (T3) SR,Hormone Replacement Therapy,Capsule,6.5mcg,each,,,$1.33,Sustained-release T3 for steady thyroid levels and metabolic optimization.
HR-T3S-02,Liothyronine (T3) SR,Hormone Replacement Therapy,Capsule,12mcg,each,,,$1.33,Sustained-release T3 for steady thyroid levels and metabolic optimization.
HR-T3S-03,Liothyronine (T3) SR,Hormone Replacement Therapy,Capsule,22mcg,each,,,$1.33,Sustained-release T3 for steady thyroid levels and metabolic optimization.
HR-PRG,Pregnenolone IR,Hormone Replacement Therapy,Capsule,25mg,each,,,$1.66,Neurosteroid precursor to all sex and adrenal hormones; supports cognition.
HR-PIR,Progesterone IR,Hormone Replacement Therapy,Capsule,50mg,each,,,$1.66,Immediate-release bioidentical progesterone for luteal support and female HRT.
HR-PIR-02,Progesterone IR,Hormone Replacement Therapy,Capsule,150mg,each,,,$1.66,Immediate-release bioidentical progesterone for luteal support and female HRT.
HR-PIR-03,Progesterone IR,Hormone Replacement Therapy,Capsule,200mg,each,,,$1.99,Immediate-release bioidentical progesterone for luteal support and female HRT.
HR-PIR-04,Progesterone IR,Hormone Replacement Therapy,Capsule,300mg,each,,,$1.66,Immediate-release bioidentical progesterone for luteal support and female HRT.
HR-PSR,Progesterone SR,Hormone Replacement Therapy,Capsule,100mg,each,,,$1.66,Sustained-release progesterone for stable overnight levels in HRT protocols.
HR-PSR-02,Progesterone SR,Hormone Replacement Therapy,Capsule,150mg,each,,,$1.99,Sustained-release progesterone for stable overnight levels in HRT protocols.
HR-PSR-03,Progesterone SR,Hormone Replacement Therapy,Capsule,300mg,each,,,$1.20,Sustained-release progesterone for stable overnight levels in HRT protocols.
HR-STA,Stanazolol,Hormone Replacement Therapy,Capsule,10mg,each,,,$6.64,"Anabolic steroid used in muscle preservation, wound healing, and anemia protocols."
HR-STD,Stanazolol (DYE-FREE) (LACTOSE FREE),Hormone Replacement Therapy,Capsule,25mg,each,,,$9.96,Hypoallergenic stanozolol capsule for sensitive patients.
HR-STD-02,Stanazolol (DYE-FREE) (LACTOSE FREE),Hormone Replacement Therapy,Capsule,50mg,each,,,$1.66,Hypoallergenic stanozolol capsule for sensitive patients.
HR-T34,T3/T4 - triiodothyronine/thyroxine,Hormone Replacement Therapy,Capsule,25/150mcg,each,,,$1.00,Combination thyroid hormone capsule replicating natural thyroid output.
HR-T34-02,T3/T4 - triiodothyronine/thyroxine,Hormone Replacement Therapy,Capsule,12/50mcg,each,,,$1.00,Combination thyroid hormone capsule replicating natural thyroid output.
HR-7KD,7-Keto DHEA SR,Hormone Replacement Therapy,Capsule,10mg,each,,$2.66,$1.60,Non-androgenic DHEA metabolite supporting thermogenesis and cortisol balance.
SX-SLD,Sildenafil,Sexual Health,Capsule,50mg,each,50mg,$2.00,,PDE5 inhibitor increasing penile blood flow for erectile dysfunction.
SX-SLD-02,Sildenafil,Sexual Health,Capsule,100mg,each,100mg,$2.75,,PDE5 inhibitor increasing penile blood flow for erectile dysfunction.
SX-TAD,Tadalafil,Sexual Health,Capsule,5.5mg,each,5.5mg,$1.75,,Long-acting PDE5 inhibitor for ED and BPH with up to 36-hour duration.
SX-TAD-02,Tadalafil,Sexual Health,Capsule,25mg,each,25mg,$1.75,,Long-acting PDE5 inhibitor for ED and BPH with up to 36-hour duration.
SX-VAR,Vardenafil,Sexual Health,Capsule,20mg,each,20mg,$3.75,,Highly selective PDE5 inhibitor for rapid-onset erectile dysfunction treatment.
SK-FM-03,Finasteride/Minoxidil,Skin & Hair Care,Capsule,1mg/2.5mg,each,,$1.40,$1.40,DHT blocker + scalp vasodilator combination for synergistic hair retention.
WL-DOX,Doxycycline Hycalate,Wellness,Capsule,20mg,each,,$1.20,$1.99,Tetracycline antibiotic with anti-inflammatory applications.
WL-DOX-02,Doxycycline Hycalate,Wellness,Capsule,30mg,each,,$1.20,$1.99,Tetracycline antibiotic with anti-inflammatory applications.
WL-DOX-03,Doxycycline Hycalate,Wellness,Capsule,50mg,each,,$1.20,$1.99,Tetracycline antibiotic with anti-inflammatory applications.
WL-DOX-04,Doxycycline Hycalate,Wellness,Capsule,100mg,each,,$1.20,$1.99,Tetracycline antibiotic with anti-inflammatory applications.
WL-MB,Methylene Blue,Wellness,Capsule,25mg,each,25mg,$2.50,$4.15,Mitochondrial electron carrier (wellness dose) for brain energy and anti-aging.
WL-MB-02,Methylene Blue,Wellness,Capsule,50mg,each,50mg,$4.00,$6.64,Mitochondrial electron carrier (wellness dose) for brain energy and anti-aging.
WL-SPR,Spironolactone SR,Wellness,Capsule,10mg,each,,$1.00,$1.66,Aldosterone antagonist with anti-androgenic properties for PCOS and acne.
WL-SPR-02,Spironolactone SR,Wellness,Capsule,55mg,each,,$1.00,$1.66,Aldosterone antagonist with anti-androgenic properties for PCOS and acne.
WL-SPR-03,Spironolactone SR,Wellness,Capsule,75mg,each,,$1.00,$1.66,Aldosterone antagonist with anti-androgenic properties for PCOS and acne.
WL-SPR-04,Spironolactone SR,Wellness,Capsule,115mg,each,,$1.00,$1.66,Aldosterone antagonist with anti-androgenic properties for PCOS and acne.
WL-VD3,Vitamin D3,Wellness,Capsule,5000U,each,,$0.50,$0.83,"Essential fat-soluble vitamin for immunity, bone density, and hormonal health."
WL-VD3-02,Vitamin D3,Wellness,Capsule,"10,000U",each,,$0.50,$0.83,"Essential fat-soluble vitamin for immunity, bone density, and hormonal health."
WL-VDK,Vitamin D3/Vitamin K2,Wellness,Capsule,"10,000iu/180mcg",each,,$0.60,$1.00,Synergistic D3+K2 directing calcium to bones and away from arteries.
WL-OMP,Omeprazole,Wellness,Capsule,4mg,each,,$0.80,$0.80,Proton pump inhibitor for GERD and GLP-1 nausea management.
WL-OMP-02,Omeprazole,Wellness,Capsule,8mg,each,,$0.80,$0.80,Proton pump inhibitor for GERD and GLP-1 nausea management.
WL-ODN,Ondansetron,Wellness,Capsule,4mg,each,,$0.60,$0.60,"5-HT3 antiemetic to manage nausea, especially during GLP-1 therapy."
WL-ODN-02,Ondansetron,Wellness,Capsule,8mg,each,,$0.60,$0.60,"5-HT3 antiemetic to manage nausea, especially during GLP-1 therapy."
WL-PTP,Phentermine/Topiramate,Wellness,Capsule,15mg/12.5mg,each,,$1.30,$1.30,Combination weight-loss agent reducing appetite and increasing satiety.
WL-PTP-02,Phentermine/Topiramate,Wellness,Capsule,30mg/12.5mg,each,,$1.30,$1.30,Combination weight-loss agent reducing appetite and increasing satiety.
